id,jurusan,teks,level,label,score
DS-001,Informatika,Sistem aplikasi ini dikembangkan menggunakan framework modern untuk memastikan kecepatan akses dan keamanan data pengguna.,4,1,85
DS-002,Hukum,eee pasal pasal yang dipakai anu hmmm pasal perdata perdata karena eee kasus ini anu hutang piutang.,2,0,30
DS-003,Psikologi,Instrumen penelitian ini telah melewati serangkaian uji validitas dan reliabilitas dengan hasil yang sangat memuaskan sesuai standar pengujian.,5,1,95
DS-004,Teknik Sipil,Perhitungan struktur bangunan jembatan ini sudah mengacu secara ketat pada pedoman standar nasional yang ditetapkan pemerintah.,4,1,88
DS-005,Manajemen,anu pemasaran pemasaran digital eee hmmm menurut saya anu sangat penting sangat penting eee untuk jualan.,3,0,45
DS-006,Informatika,Hasil pengujian black box menunjukkan bahwa seluruh fungsi pada modul utama berjalan lancar tanpa ditemukan bug.,5,1,92
DS-007,Hukum,Analisis yuridis komparatif yang digunakan dalam penelitian ini mampu menyoroti perbedaan regulasi di berbagai negara dengan jelas.,4,1,86
DS-008,Psikologi,eee sampel sampel ini anu hmmm dipilih secara dipilih secara eee acak hmmm karena anu lebih mudah.,1,0,
DS-009,Teknik Sipil,Evaluasi kelayakan tanah pada lokasi proyek telah memenuhi spesifikasi teknis untuk pembangunan gedung bertingkat tinggi.,5,1,96
DS-010,Manajemen,Kepemimpinan transformasional terbukti secara empiris memiliki korelasi yang sangat positif dan signifikan terhadap peningkatan produktivitas karyawan.,4,1,89
DS-011,Informatika,Model machine learning yang dilatih dengan dataset ini berhasil mencapai tingkat akurasi klasifikasi hingga sembilan puluh persen.,5,1,94
DS-012,Hukum,hmmm keputusan keputusan hakim anu eee sangat sangat dipengaruhi dipengaruhi oleh hmmm keterangan saksi saksi anu di pengadilan.,2,0,25
DS-013,Psikologi,Temuan riset ini mengkonfirmasi adanya hubungan linear antara pola asuh otoriter dengan tingkat kecemasan sosial pada remaja.,4,1,83
DS-014,Teknik Sipil,Desain pondasi tiang pancang dipilih setelah mempertimbangkan daya dukung tanah dan estimasi beban maksimal struktur atas.,5,1,91
DS-015,Manajemen,eee sumber sumber data anu hmmm saya ambil saya ambil dari eee laporan hmmm laporan tahunan perusahaan.,3,0,48
DS-016,Informatika,Optimasi query pada basis data terdistribusi ini secara signifikan menurunkan waktu respon server saat beban puncak.,4,1,87
DS-017,Manajemen,Pengujian hipotesis dilakukan dengan menggunakan perangkat lunak statistik SPSS terbaru untuk menjamin akurasi hasil pengolahan data secara maksimal tanpa bias.,5,1,92
